Indicator,Mean,Std
AROON_down_3,52.5121412803532,40.59089576623115
AROON_up_3,48.16777041942605,40.728600859896325
AROON_down_6,53.0242825607064,37.195348286267034
AROON_up_6,47.818984547461376,37.340166257039684
AROON_down_9,53.54819720382634,35.88935545348501
AROON_up_9,47.22884473877851,35.81186330772571
AROON_down_12,53.86975717439294,35.06869826742366
AROON_up_12,47.13024282560707,35.16651395249636
AROON_down_18,54.347314201618836,34.292616547394296
AROON_up_18,47.47755702722589,34.47781269709391
AROON_down_24,55.22626931567329,33.858168087934885
AROON_up_24,47.17880794701987,34.19342308962603
AROON_down_30,55.66357615894041,33.66852083244745
AROON_up_30,46.683443708609275,34.03210798201842
BB_upper_3,7.276952069169539,7.354075525969686
BB_middle_3,0.24480774883387932,4.830645916914029
BB_lower_3,-6.78733657150178,7.093482507985294
BB_upper_6,11.143038721527459,10.525976085247814
BB_middle_6,0.5391287325259024,7.328694154078536
BB_lower_6,-10.064781256475653,9.269683398981732
BB_upper_9,13.646280213710977,12.523996339300798
BB_middle_9,0.7810840026505738,8.79057446995086
BB_lower_9,-12.08411220840983,10.597335975915117
BB_upper_12,15.529368818339561,13.874394190515913
BB_middle_12,0.9845172391059638,9.755105081925805
BB_lower_12,-13.560334340127634,11.5258487975915
BB_upper_18,18.496475396274064,16.02086477950885
BB_middle_18,1.3544789514220732,11.281213649628562
BB_lower_18,-15.787517493429917,12.906511894944163
BB_upper_24,20.83528385824358,17.57061851601879
BB_middle_24,1.6869057054499963,12.441899336099326
BB_lower_24,-17.461472447343592,13.994843775718868
BB_upper_30,22.883421286722015,18.9763579651814
BB_middle_30,2.0054945156284587,13.480210513993974
BB_lower_30,-18.8724322554651,14.87149491199152
EMA_3,0.22725735974964587,3.5839591998450855
EMA_6,0.49647733779347436,5.811281974413442
EMA_9,0.7211256968970965,7.127836480142764
EMA_12,0.920947811861096,8.08495460876729
EMA_18,1.2762025937066581,9.488504626690482
EMA_24,1.5935767498851594,10.528594678289723
EMA_30,1.8858328733666236,11.359255963041262
EMA_36,2.1600681380475013,12.053589165241203
EMA_42,2.420694205775747,12.65385391376918
EMA_48,2.6704532688675284,13.186507399735795
EMA_54,2.911605946303293,13.668787819057744
EMA_60,3.146041888838668,14.112248302558957
High_Low_Diff_3,-84.11383963236479,8.432364280935817
High_Low_Diff_6,-77.14710794930006,11.841288550006185
High_Low_Diff_9,-72.11505317805457,14.289049958584654
High_Low_Diff_12,-68.04158760625347,16.12393623904785
High_Low_Diff_18,-61.34772673470778,19.239684561249423
High_Low_Diff_24,-55.81716395357544,21.73764170348698
High_Low_Diff_30,-50.83153455678921,23.860611722137392
High_Low_Diff_36,-46.35092417544078,25.996723828836544
High_Low_Diff_42,-42.40145419157459,27.929597904353543
High_Low_Diff_48,-38.6899338223851,29.903992716091768
High_Low_Diff_54,-35.18374295824029,31.557882339828254
High_Low_Diff_60,-32.00394823215124,32.47805771588364
High_Low_Mean_3,1.4097828009328734,5.739234863828633
High_Low_Mean_6,2.434830460028508,7.955159769831568
High_Low_Mean_9,3.3691437518862113,9.43265644174043
High_Low_Mean_12,4.230031885531159,10.544658272818529
High_Low_Mean_18,5.907859979993276,12.537440761056128
High_Low_Mean_24,7.469896101745982,14.008917096791192
High_Low_Mean_30,8.978087863455123,15.31149797711392
High_Low_Mean_36,10.395938600439893,16.46712684150958
High_Low_Mean_42,11.65604322526101,17.438357203091705
High_Low_Mean_48,12.886549003430922,18.516589393763873
High_Low_Mean_54,14.077361456177732,19.4699078097516
High_Low_Mean_60,15.170082066504257,19.848631232137112
MACD_3,-0.01190939472936179,0.8340371239104498
MACD_signal_3,-0.011837578807340664,0.7631843977858508
MACD_hist_3,-7.181592202112964e-05,0.2379050205751795
MACD_6,-0.021202766859671207,0.9797252165981212
MACD_signal_6,-0.021121350402451423,0.9037330786562231
MACD_hist_6,-8.141645721977527e-05,0.3197335256868774
MACD_9,-0.0335321248138567,1.1808900884149025
MACD_signal_9,-0.03379230846288344,1.0947329728172361
MACD_hist_9,0.00026018364902673826,0.3961708071715667
MACD_12,-0.04709652963042148,1.3333317090428456
MACD_signal_12,-0.04824768817038517,1.2344924245652196
MACD_hist_12,0.0011511585399636953,0.46441483046863585
MACD_18,-0.07374781502641055,1.509605002519278
MACD_signal_18,-0.07688315678092296,1.387053097036331
MACD_hist_18,0.0031353417545124033,0.5671067423917597
MACD_24,-0.10088973451652836,1.6351414728945721
MACD_signal_24,-0.10485827636239922,1.4919540558528406
MACD_hist_24,0.003968541845870878,0.6455482937899286
MACD_30,-0.12855859800647582,1.7571248999116904
MACD_signal_30,-0.13149789209686433,1.5943998692600851
MACD_hist_30,0.0029392940903885524,0.7158444210546705
Max_High_3,9.352862984750475,7.843259633307053
Max_High_6,13.861276485378477,11.467636265463167
Max_High_9,17.311617162858926,14.018451647072128
Max_High_12,20.209238082404422,15.958294629806284
Max_High_18,25.23399661263939,19.42960981929603
Max_High_24,29.561314124958265,22.091280049419574
Max_High_30,33.56232058506052,24.42453613697853
Max_High_36,37.22047651271951,26.6665889055204
Max_High_42,40.455316129473715,28.599668782755106
Max_High_48,43.54158209223837,30.702984842477584
Max_High_54,46.48548997705759,32.508630184663915
Max_High_60,49.16810795042864,33.291083229513774
Min_Low_3,-6.533297382884729,6.317697021234031
Min_Low_6,-8.99161556532146,8.072825383493754
Min_Low_9,-10.573329659086504,9.139009950425663
Min_Low_12,-11.749174311342106,9.884489294332639
Min_Low_18,-13.418276652652837,11.042999363944938
Min_Low_24,-14.621521921466304,11.863279295466409
Min_Low_30,-15.606144858150275,12.529579840403951
Min_Low_36,-16.428599311839722,13.005398643990338
Min_Low_42,-17.143229678951695,13.426941906159367
Min_Low_48,-17.76848408537653,13.790550297182639
Min_Low_54,-18.330767064702126,14.117136843015764
Min_Low_60,-18.82794381742013,14.389309138470086
ROC_1,0.21187693677302172,7.088126886482126
ROC_2,0.3807048208394569,9.634735144052595
ROC_3,0.5274367441766155,11.578206009521079
ROC_6,0.8767660016492806,15.409847130095917
ROC_9,1.0857775146414472,17.52761649855826
ROC_12,1.299771898209566,19.563982927940586
ROC_18,1.672442991911331,22.959471481181914
ROC_24,2.059652650877241,26.208048285869758
ROC_30,2.4111809689080026,28.8107273432363
RSI_3,47.22343435167876,23.413259630803324
RSI_6,48.06422118452845,14.875986926662385
RSI_9,48.444800023756386,11.31206099645763
RSI_12,48.667439285230834,9.291834793396346
RSI_18,48.9158089101914,7.021877551526501
RSI_24,49.053321868537694,5.748486233104481
RSI_30,49.14539746527011,4.920747531505991
Open,18.87851653673791,8.883291818183396
High,19.668349674048013,9.424938315656767
Low,18.062439727277944,8.302120493769891
Close,18.765414562856915,8.842852341992037
